18:23, Thursday, August 05, 2021
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X(mm)  ,Y(mm)  ,Z(mm)  ,URES(mm)
9019  ,-192.5  ,-192.5  ,4  ,3.26861e-01
15831  ,-192.5  ,-192.5  ,2  ,3.26626e-01
15823  ,-183.75  ,-192.5  ,4  ,3.26594e-01
9018  ,-192.5  ,-192.5  ,0  ,3.26394e-01
15822  ,-183.75  ,-192.5  ,2  ,3.26358e-01
9086  ,-175  ,-192.5  ,4  ,3.26326e-01
15829  ,-183.75  ,-192.5  ,0  ,3.26125e-01
15397  ,-175  ,-192.5  ,2  ,3.26090e-01
15403  ,-166.25  ,-192.5  ,4  ,3.26059e-01
9087  ,-175  ,-192.5  ,0  ,3.25857e-01
15396  ,-166.25  ,-192.5  ,2  ,3.25822e-01
9085  ,-157.5  ,-192.5  ,4  ,3.25792e-01
15821  ,-190.512  ,-190.478  ,2  ,3.25685e-01
15828  ,-192.538  ,-192.387  ,-6.33333  ,3.25624e-01
15390  ,-166.25  ,-192.5  ,0  ,3.25588e-01
15402  ,-157.5  ,-192.5  ,2  ,3.25555e-01
15411  ,-148.75  ,-192.5  ,4  ,3.25526e-01
15827  ,-190.512  ,-190.478  ,0  ,3.25451e-01
15392  ,-181.762  ,-190.478  ,2  ,3.25417e-01
15389  ,-183.769  ,-192.387  ,-6.33333  ,3.25354e-01
9088  ,-157.5  ,-192.5  ,0  ,3.25320e-01
15401  ,-148.75  ,-192.5  ,2  ,3.25288e-01
9084  ,-140  ,-192.5  ,4  ,3.25260e-01
15386  ,-181.762  ,-190.478  ,0  ,3.25183e-01
15393  ,-172.932  ,-190.478  ,2  ,3.25145e-01
15384  ,-148.75  ,-192.5  ,0  ,3.25052e-01
15410  ,-140  ,-192.5  ,2  ,3.25021e-01
15419  ,-131.25  ,-192.5  ,4  ,3.24995e-01
9437  ,-192.538  ,-192.387  ,-12.6667  ,3.24927e-01
15387  ,-172.932  ,-190.478  ,0  ,3.24911e-01
15398  ,-164.182  ,-190.478  ,2  ,3.24876e-01
9089  ,-140  ,-192.5  ,0  ,3.24784e-01
15409  ,-131.25  ,-192.5  ,2  ,3.24755e-01
9083  ,-122.5  ,-192.5  ,4  ,3.24731e-01
15388  ,-175.018  ,-192.387  ,-9.5  ,3.24731e-01
15826  ,-190.512  ,-190.478  ,-6.33333  ,3.24728e-01
15380  ,-164.182  ,-190.478  ,0  ,3.24641e-01
15399  ,-155.353  ,-190.478  ,2  ,3.24605e-01
15378  ,-131.25  ,-192.5  ,0  ,3.24517e-01
9687  ,-188.524  ,-188.456  ,0  ,3.24509e-01
15418  ,-122.5  ,-192.5  ,2  ,3.24490e-01
15427  ,-113.75  ,-192.5  ,4  ,3.24467e-01
15382  ,-166.269  ,-192.387  ,-9.5  ,3.24459e-01
15385  ,-181.762  ,-190.478  ,-6.33333  ,3.24458e-01
15381  ,-155.353  ,-190.478  ,0  ,3.24369e-01
15405  ,-146.603  ,-190.478  ,2  ,3.24336e-01
13361  ,-183.787  ,-192.387  ,-15.8333  ,3.24315e-01
13362  ,-192.538  ,-192.387  ,-19  ,3.24254e-01
9090  ,-122.5  ,-192.5  ,0  ,3.24251e-01
12313  ,-179.694  ,-188.456  ,0  ,3.24238e-01
15417  ,-113.75  ,-192.5  ,2  ,3.24224e-01
